id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46711617,Room 105 | Maison Sainte-Thérèse,113699303,Maisons & Co,,Ville-Marie,45.50735,-73.55273,Entire home/apt,249,2,27,2022-08-09,1.31,25,276,20,
46505612,Luxurious Condo in heart of Downtown Montreal,142105694,Neeraj,,Ville-Marie,45.49416,-73.56999,Entire home/apt,115,28,4,2022-08-26,0.28,1,125,3,
46712314,Room 106 | Maison Sainte-Thérèse,113699303,Maisons & Co,,Ville-Marie,45.50578,-73.55438,Entire home/apt,249,2,9,2022-08-23,0.82,25,260,9,
46712480,Room 107 | Maison Sainte-Thérèse,113699303,Maisons & Co,,Ville-Marie,45.50721,-73.5546,Entire home/apt,249,2,9,2021-11-18,0.46,25,216,3,
46506025,Corporate Stays | Hexagone | Deluxe 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49169,-73.55819,Entire home/apt,194,30,0,,,183,81,0,
46712579,1672 Montreal Canada,295523875,Keyvan,,Saint-Laurent,45.51085,-73.70481,Entire home/apt,102,1,1,2020-12-25,0.05,1,0,0,
46724700,Corporate Stays | Le V | Wide-open & Bright Studio,38459934,Corporate Stays,,Ville-Marie,45.50482,-73.56294,Entire home/apt,122,30,0,,,183,0,0,
46725895,Corporate Stays | Le V | Cozy Studio,38459934,Corporate Stays,,Ville-Marie,45.50623,-73.56296,Entire home/apt,122,30,1,2022-07-20,0.54,183,38,1,
46506608,Corporate Stays | Hexagone | Upscale 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49119,-73.55703,Entire home/apt,194,30,0,,,183,88,0,
46507207,Corporate Stays | Hexagone | Lovely 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49156,-73.55694,Entire home/apt,194,30,0,,,183,88,0,
46737987,Stella Stays | Trendy 2 Floor Penthouse | Old MTL,156562805,Stella Stays,,Ville-Marie,45.50419,-73.55979,Entire home/apt,458,1,107,2022-08-27,4.98,9,70,53,
46756647,"Maison Patriotes7BRM,8-20 guest in❤of Old Montréal",258224590,Alaa,,Ville-Marie,45.50757,-73.55243,Entire home/apt,1913,3,13,2022-07-07,0.78,1,331,9,
46509029,Corporate Stays | Hexagone 2 | Cozy Studio,38459934,Corporate Stays,,Le Sud-Ouest,45.49253,-73.55795,Entire home/apt,115,30,1,2022-01-12,0.12,183,70,1,
46757942,"Large, Bright, Beautiful, Furnished Room -BEACH",377876199,Mai,,Mercier-Hochelaga-Maisonneuve,45.60122,-73.51986,Private room,65,28,5,2022-08-29,0.25,3,145,3,
46510304,Corporate Stays | Hexagone 2 | Splendid 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49279,-73.55723,Entire home/apt,210,30,0,,,183,64,0,
46767438,Cozy All-furnished Large & Renovated Room - WOODS,377876199,Mai,,Mercier-Hochelaga-Maisonneuve,45.60253,-73.52261,Private room,64,28,0,,,3,345,0,
46893965,New Studio Neuf à coté / next METRO St-Henri,227862675,Amélie,,Le Sud-Ouest,45.47887,-73.58615,Entire home/apt,90,1,92,2022-08-28,4.41,1,191,59,
46772224,Cozy / New Apartment in Hochelaga,4585283,JPhilip,,Mercier-Hochelaga-Maisonneuve,45.54621,-73.55253,Private room,70,12,1,2022-08-31,1,1,54,1,
46917609,Stella Stays | Magnificent 2 BDR Condo | Old MTL,156562805,Stella Stays,,Ville-Marie,45.50383,-73.55746,Entire home/apt,302,1,79,2022-09-04,3.71,9,42,38,
46917707,Stella Stays | Spacious 1 BDR Condo | Old MTL,156562805,Stella Stays,,Ville-Marie,45.5043,-73.55965,Entire home/apt,211,1,71,2022-08-16,3.34,9,43,40,
