id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3273876,South City Comfort,2030445,Niall,,Dublin City,53.30703,-6.28518,Entire home/apt,200,4,3,2016-03-27,0.03,1,0,0,
1556554,Beautiful Victorian home in vibrant inner city,1271983,Rachel & Justin,,Dublin City,53.3369,-6.2836,Entire home/apt,294,3,19,2022-08-15,0.26,1,1,6,
3281268,Modern Style,16583015,Seán,,Fingal,53.38873,-6.13044,Entire home/apt,310,5,24,2018-08-28,0.24,1,65,0,
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,,Dublin City,53.33514,-6.26772,Private room,85,2,60,2022-04-28,0.56,2,81,7,
3333378,Stunning Sea View Beach Apartment,15351872,Mary & Jason,,Fingal,53.52772,-6.08642,Entire home/apt,140,2,120,2022-08-13,1.31,5,258,22,
3356956,Ashtown/Phoenix Park/Croke Park,16841519,Suzanne,,Dublin City,53.37585,-6.33262,Entire home/apt,95,3,35,2017-03-22,0.36,1,0,0,
1582908,Bright and warm home from home.,8427433,Paula,,Dublin City,53.32523,-6.31216,Private room,85,3,64,2022-09-05,0.63,1,67,1,
1600779,Stephen's Green 1838 Villa - double,3745350,Natasha,,Dublin City,53.33511,-6.26875,Private room,110,2,73,2022-06-04,0.70,2,84,3,
3388678,Charming Victorian Family Home,6311500,Siobhan And Caroline,,Dublin City,53.36274,-6.23985,Entire home/apt,151,2,13,2018-07-29,0.13,1,0,0,
3389175,Modern 2 bedroom apartment near Temple Bar,4936901,Cir,,Dublin City,53.33965,-6.274,Entire home/apt,107,7,93,2019-11-15,0.93,2,0,0,
1717912,St Patricks Cathedral View,5429761,Bob,,Dublin City,53.33851,-6.27289,Private room,55,2,309,2020-03-01,3.46,4,0,0,
3394094,Small Single Room 5min from Spire,7972293,Rose,,Dublin City,53.35277,-6.26669,Private room,91,3,208,2022-08-20,2.10,1,44,34,
3424579,Prestigious 1930s home,70706,Deids And Eoin,,Dublin City,53.37031,-6.18018,Entire home/apt,200,14,13,2022-08-16,0.13,1,0,2,
1729959,Kim's House,9115187,Kim,,Dn Laoghaire-Rathdown,53.3065,-6.24719,Private room,190,5,4,2022-07-09,0.04,1,278,1,
1771007,Cosy Bedroom near Bray Seaside,9302663,Craig & Becks,,Dn Laoghaire-Rathdown,53.21096,-6.12187,Private room,50,1,0,,,1,0,0,
1789253,City Center Modern Apartment,8768901,Carolina,,Dublin City,53.34438,-6.27426,Entire home/apt,170,2,0,,,1,0,0,
3430811,Centrally located double room,17290408,Becca,,Dublin City,53.33958,-6.22457,Private room,58,2,25,2019-09-15,0.26,2,0,0,
1797712,Fab en suite near city centre & sea,6325886,Jacinta,,Dublin City,53.36275,-6.21449,Private room,86,2,67,2022-09-04,0.66,1,9,3,
3441888,Stylish 2.5 bed home close to village and station,2484496,Clare,,Dn Laoghaire-Rathdown,53.28692,-6.12574,Entire home/apt,220,6,9,2022-08-08,2.48,1,140,9,
1804494,Entire 2bed townhouse close to City,6650296,Fiona,,Dublin City,53.36373,-6.20788,Entire home/apt,150,5,107,2022-09-07,1.02,2,110,5,
3441994,"One double room, close to Dublin city :)",17345952,Piotr,,Dublin City,53.39147,-6.26239,Private room,125,3,26,2019-09-28,0.54,1,0,0,
1896821,Open plan Artisan House Dublin City,3826057,Eleanor,,Dublin City,53.33951,-6.29259,Entire home/apt,150,2,18,2018-11-25,0.17,1,0,0,
3474511,DUBLIN CITY CENTRE – Double Room,17501731,Kieran,,Dublin City,53.33531,-6.26685,Private room,99,1,640,2022-08-30,6.57,2,0,5,
1906221,"Great double room,Dublin",9084049,Jose&Vadym,,Dublin City,53.33688,-6.29419,Private room,75,2,512,2022-08-28,4.79,3,67,14,
1929739,Comfy stay in Dublin,9084049,Jose&Vadym,,Dublin City,53.33697,-6.29251,Private room,100,1,82,2020-02-16,0.77,3,0,0,
3482676,1 bed entire  house in Dublin 4,15735948,Noreen,,Dublin City,53.33597,-6.22378,Entire home/apt,210,1,5,2016-02-25,0.06,1,0,0,
1943366,Exquisitely restored Victorian Flat - WB Yeats,1557844,Liam And Fiona,,Dublin City,53.35691,-6.29164,Entire home/apt,240,2,133,2022-09-11,1.31,8,210,29,
1963074,Private room with own entrance,10124896,Robyn,,Dublin City,53.39105,-6.27775,Private room,105,1,616,2022-08-29,6.24,1,248,94,
3512821,Deleted,15557452,Cristian,,Dublin City,53.3433,-6.26318,Private room,35,1,0,,,2,0,0,
3540544,Spacious Double Room,17822866,Jordan,,Dublin City,53.33084,-6.25184,Private room,50,1,0,,,1,0,0,
2026810,2 single cosy rooms in Ranelagh,6782586,Mary,,Dublin City,53.32338,-6.25333,Private room,53,3,292,2022-09-11,2.80,2,245,31,
3576358,THE DOME: 3 Bedroom Townhouse Dublin.,17981524,Christina,,Dublin City,53.32542,-6.31536,Entire home/apt,120,7,28,2019-08-06,0.46,5,0,0,
2069629,"City Centre Apartment, sleeps 2",10583714,Michelle,,Dublin City,53.34665,-6.26371,Entire home/apt,95,14,64,2019-06-13,0.81,1,0,0,
